batch_size,seq_len,m,prediction_m,name,suffix,n,k,kernel,supported,latency_ms,reason,source,prediction_status,selected
32,261,8352,8352,backbone.layer.35.attention.k_proj,attention.k_proj,4096,4096,sparse_nvfp4,False,,[Errno 2] No such file or directory: 'fake/kernels/cutlass/cutlass_wrapper/artifacts/modeling/sparse_nvfp4/sparse_nvfp4_model.json',,model_missing,False
32,261,8352,8352,backbone.layer.35.attention.v_proj,attention.v_proj,4096,4096,dense_bf16,False,,[Errno 2] No such file or directory: 'fake/kernels/cutlass/cutlass_wrapper/artifacts/modeling/dense_bf16/dense_bf16_model.json',,model_missing,True
32,261,8352,8352,backbone.layer.35.attention.v_proj,attention.v_proj,4096,4096,dense_nvfp4,False,,[Errno 2] No such file or directory: 'fake/kernels/cutlass/cutlass_wrapper/artifacts/modeling/dense_nvfp4/dense_nvfp4_model.json',,model_missing,False
32,261,8352,8352,backbone.layer.35.attention.v_proj,attention.v_proj,4096,4096,sparse_bf16,False,,[Errno 2] No such file or directory: 'fake/kernels/cutlass/cutlass_wrapper/artifacts/modeling/sparse_bf16/sparse_bf16_model.json',,model_missing,False
32,261,8352,8352,backbone.layer.35.attention.v_proj,attention.v_proj,4096,4096,sparse_nvfp4,False,,[Errno 2] No such file or directory: 'fake/kernels/cutlass/cutlass_wrapper/artifacts/modeling/sparse_nvfp4/sparse_nvfp4_model.json',,model_missing,False
32,261,8352,8352,backbone.layer.35.attention.q_proj,attention.q_proj,4096,4096,dense_bf16,False,,[Errno 2] No such file or directory: 'fake/kernels/cutlass/cutlass_wrapper/artifacts/modeling/dense_bf16/dense_bf16_model.json',,model_missing,True
32,261,8352,8352,backbone.layer.35.attention.q_proj,attention.q_proj,4096,4096,dense_nvfp4,False,,[Errno 2] No such file or directory: 'fake/kernels/cutlass/cutlass_wrapper/artifacts/modeling/dense_nvfp4/dense_nvfp4_model.json',,model_missing,False
32,261,8352,8352,backbone.layer.35.attention.q_proj,attention.q_proj,4096,4096,sparse_bf16,False,,[Errno 2] No such file or directory: 'fake/kernels/cutlass/cutlass_wrapper/artifacts/modeling/sparse_bf16/sparse_bf16_model.json',,model_missing,False
32,261,8352,8352,backbone.layer.35.attention.q_proj,attention.q_proj,4096,4096,sparse_nvfp4,False,,[Errno 2] No such file or directory: 'fake/kernels/cutlass/cutlass_wrapper/artifacts/modeling/sparse_nvfp4/sparse_nvfp4_model.json',,model_missing,False
32,261,8352,8352,backbone.layer.35.attention.o_proj,attention.o_proj,4096,4096,dense_bf16,False,,[Errno 2] No such file or directory: 'fake/kernels/cutlass/cutlass_wrapper/artifacts/modeling/dense_bf16/dense_bf16_model.json',,model_missing,True
32,261,8352,8352,backbone.layer.35.attention.o_proj,attention.o_proj,4096,4096,dense_nvfp4,False,,[Errno 2] No such file or directory: 'fake/kernels/cutlass/cutlass_wrapper/artifacts/modeling/dense_nvfp4/dense_nvfp4_model.json',,model_missing,False
32,261,8352,8352,backbone.layer.35.attention.o_proj,attention.o_proj,4096,4096,sparse_bf16,False,,[Errno 2] No such file or directory: 'fake/kernels/cutlass/cutlass_wrapper/artifacts/modeling/sparse_bf16/sparse_bf16_model.json',,model_missing,False
32,261,8352,8352,backbone.layer.35.attention.o_proj,attention.o_proj,4096,4096,sparse_nvfp4,False,,[Errno 2] No such file or directory: 'fake/kernels/cutlass/cutlass_wrapper/artifacts/modeling/sparse_nvfp4/sparse_nvfp4_model.json',,model_missing,False
32,261,8352,8352,backbone.layer.35.mlp.gate_proj,mlp.gate_proj,8192,4096,dense_bf16,False,,[Errno 2] No such file or directory: 'fake/kernels/cutlass/cutlass_wrapper/artifacts/modeling/dense_bf16/dense_bf16_model.json',,model_missing,True
32,261,8352,8352,backbone.layer.35.mlp.gate_proj,mlp.gate_proj,8192,4096,dense_nvfp4,False,,[Errno 2] No such file or directory: 'fake/kernels/cutlass/cutlass_wrapper/artifacts/modeling/dense_nvfp4/dense_nvfp4_model.json',,model_missing,False
32,261,8352,8352,backbone.layer.35.mlp.gate_proj,mlp.gate_proj,8192,4096,sparse_bf16,False,,[Errno 2] No such file or directory: 'fake/kernels/cutlass/cutlass_wrapper/artifacts/modeling/sparse_bf16/sparse_bf16_model.json',,model_missing,False
32,261,8352,8352,backbone.layer.35.mlp.gate_proj,mlp.gate_proj,8192,4096,sparse_nvfp4,False,,[Errno 2] No such file or directory: 'fake/kernels/cutlass/cutlass_wrapper/artifacts/modeling/sparse_nvfp4/sparse_nvfp4_model.json',,model_missing,False
32,261,8352,8352,backbone.layer.35.mlp.up_proj,mlp.up_proj,8192,4096,dense_bf16,False,,[Errno 2] No such file or directory: 'fake/kernels/cutlass/cutlass_wrapper/artifacts/modeling/dense_bf16/dense_bf16_model.json',,model_missing,True
32,261,8352,8352,backbone.layer.35.mlp.up_proj,mlp.up_proj,8192,4096,dense_nvfp4,False,,[Errno 2] No such file or directory: 'fake/kernels/cutlass/cutlass_wrapper/artifacts/modeling/dense_nvfp4/dense_nvfp4_model.json',,model_missing,False
32,261,8352,8352,backbone.layer.35.mlp.up_proj,mlp.up_proj,8192,4096,sparse_bf16,False,,[Errno 2] No such file or directory: 'fake/kernels/cutlass/cutlass_wrapper/artifacts/modeling/sparse_bf16/sparse_bf16_model.json',,model_missing,False
32,261,8352,8352,backbone.layer.35.mlp.up_proj,mlp.up_proj,8192,4096,sparse_nvfp4,False,,[Errno 2] No such file or directory: 'fake/kernels/cutlass/cutlass_wrapper/artifacts/modeling/sparse_nvfp4/sparse_nvfp4_model.json',,model_missing,False
32,261,8352,8352,backbone.layer.35.mlp.down_proj,mlp.down_proj,4096,8192,dense_bf16,False,,[Errno 2] No such file or directory: 'fake/kernels/cutlass/cutlass_wrapper/artifacts/modeling/dense_bf16/dense_bf16_model.json',,model_missing,True
32,261,8352,8352,backbone.layer.35.mlp.down_proj,mlp.down_proj,4096,8192,dense_nvfp4,False,,[Errno 2] No such file or directory: 'fake/kernels/cutlass/cutlass_wrapper/artifacts/modeling/dense_nvfp4/dense_nvfp4_model.json',,model_missing,False
32,261,8352,8352,backbone.layer.35.mlp.down_proj,mlp.down_proj,4096,8192,sparse_bf16,False,,[Errno 2] No such file or directory: 'fake/kernels/cutlass/cutlass_wrapper/artifacts/modeling/sparse_bf16/sparse_bf16_model.json',,model_missing,False
32,261,8352,8352,backbone.layer.35.mlp.down_proj,mlp.down_proj,4096,8192,sparse_nvfp4,False,,[Errno 2] No such file or directory: 'fake/kernels/cutlass/cutlass_wrapper/artifacts/modeling/sparse_nvfp4/sparse_nvfp4_model.json',,model_missing,False
32,261,8352,8352,backbone.layer.36.attention.k_proj,attention.k_proj,4096,4096,dense_bf16,False,,[Errno 2] No such file or directory: 'fake/kernels/cutlass/cutlass_wrapper/artifacts/modeling/dense_bf16/dense_bf16_model.json',,model_missing,True
32,261,8352,8352,backbone.layer.36.attention.k_proj,attention.k_proj,4096,4096,dense_nvfp4,False,,[Errno 2] No such file or directory: 'fake/kernels/cutlass/cutlass_wrapper/artifacts/modeling/dense_nvfp4/dense_nvfp4_model.json',,model_missing,False
32,261,8352,8352,backbone.layer.36.attention.k_proj,attention.k_proj,4096,4096,sparse_bf16,False,,[Errno 2] No such file or directory: 'fake/kernels/cutlass/cutlass_wrapper/artifacts/modeling/sparse_bf16/sparse_bf16_model.json',,model_missing,False
32,261,8352,8352,backbone.layer.36.attention.k_proj,attention.k_proj,4096,4096,sparse_nvfp4,False,,[Errno 2] No such file or directory: 'fake/kernels/cutlass/cutlass_wrapper/artifacts/modeling/sparse_nvfp4/sparse_nvfp4_model.json',,model_missing,False
32,261,8352,8352,backbone.layer.36.attention.v_proj,attention.v_proj,4096,4096,dense_bf16,False,,[Errno 2] No such file or directory: 'fake/kernels/cutlass/cutlass_wrapper/artifacts/modeling/dense_bf16/dense_bf16_model.json',,model_missing,True
32,261,8352,8352,backbone.layer.36.attention.v_proj,attention.v_proj,4096,4096,dense_nvfp4,False,,[Errno 2] No such file or directory: 'fake/kernels/cutlass/cutlass_wrapper/artifacts/modeling/dense_nvfp4/dense_nvfp4_model.json',,model_missing,False
32,261,8352,8352,backbone.layer.36.attention.v_proj,attention.v_proj,4096,4096,sparse_bf16,False,,[Errno 2] No such file or directory: 'fake/kernels/cutlass/cutlass_wrapper/artifacts/modeling/sparse_bf16/sparse_bf16_model.json',,model_missing,False
32,261,8352,8352,backbone.layer.36.attention.v_proj,attention.v_proj,4096,4096,sparse_nvfp4,False,,[Errno 2] No such file or directory: 'fake/kernels/cutlass/cutlass_wrapper/artifacts/modeling/sparse_nvfp4/sparse_nvfp4_model.json',,model_missing,False
32,261,8352,8352,backbone.layer.36.attention.q_proj,attention.q_proj,4096,4096,dense_bf16,False,,[Errno 2] No such file or directory: 'fake/kernels/cutlass/cutlass_wrapper/artifacts/modeling/dense_bf16/dense_bf16_model.json',,model_missing,True
32,261,8352,8352,backbone.layer.36.attention.q_proj,attention.q_proj,4096,4096,dense_nvfp4,False,,[Errno 2] No such file or directory: 'fake/kernels/cutlass/cutlass_wrapper/artifacts/modeling/dense_nvfp4/dense_nvfp4_model.json',,model_missing,False
32,261,8352,8352,backbone.layer.36.attention.q_proj,attention.q_proj,4096,4096,sparse_bf16,False,,[Errno 2] No such file or directory: 'fake/kernels/cutlass/cutlass_wrapper/artifacts/modeling/sparse_bf16/sparse_bf16_model.json',,model_missing,False
32,261,8352,8352,backbone.layer.36.attention.q_proj,attention.q_proj,4096,4096,sparse_nvfp4,False,,[Errno 2] No such file or directory: 'fake/kernels/cutlass/cutlass_wrapper/artifacts/modeling/sparse_nvfp4/sparse_nvfp4_model.json',,model_missing,False
32,261,8352,8352,backbone.layer.36.attention.o_proj,attention.o_proj,4096,4096,dense_bf16,False,,[Errno 2] No such file or directory: 'fake/kernels/cutlass/cutlass_wrapper/artifacts/modeling/dense_bf16/dense_bf16_model.json',,model_missing,True
32,261,8352,8352,backbone.layer.36.attention.o_proj,attention.o_proj,4096,4096,dense_nvfp4,False,,[Errno 2] No such file or directory: 'fake/kernels/cutlass/cutlass_wrapper/artifacts/modeling/dense_nvfp4/dense_nvfp4_model.json',,model_missing,False
32,261,8352,8352,backbone.layer.36.attention.o_proj,attention.o_proj,4096,4096,sparse_bf16,False,,[Errno 2] No such file or directory: 'fake/kernels/cutlass/cutlass_wrapper/artifacts/modeling/sparse_bf16/sparse_bf16_model.json',,model_missing,False
32,261,8352,8352,backbone.layer.36.attention.o_proj,attention.o_proj,4096,4096,sparse_nvfp4,False,,[Errno 2] No such file or directory: 'fake/kernels/cutlass/cutlass_wrapper/artifacts/modeling/sparse_nvfp4/sparse_nvfp4_model.json',,model_missing,False
32,261,8352,8352,backbone.layer.36.mlp.gate_proj,mlp.gate_proj,8192,4096,dense_bf16,False,,[Errno 2] No such file or directory: 'fake/kernels/cutlass/cutlass_wrapper/artifacts/modeling/dense_bf16/dense_bf16_model.json',,model_missing,True
32,261,8352,8352,backbone.layer.36.mlp.gate_proj,mlp.gate_proj,8192,4096,dense_nvfp4,False,,[Errno 2] No such file or directory: 'fake/kernels/cutlass/cutlass_wrapper/artifacts/modeling/dense_nvfp4/dense_nvfp4_model.json',,model_missing,False
32,261,8352,8352,backbone.layer.36.mlp.gate_proj,mlp.gate_proj,8192,4096,sparse_bf16,False,,[Errno 2] No such file or directory: 'fake/kernels/cutlass/cutlass_wrapper/artifacts/modeling/sparse_bf16/sparse_bf16_model.json',,model_missing,False
32,261,8352,8352,backbone.layer.36.mlp.gate_proj,mlp.gate_proj,8192,4096,sparse_nvfp4,False,,[Errno 2] No such file or directory: 'fake/kernels/cutlass/cutlass_wrapper/artifacts/modeling/sparse_nvfp4/sparse_nvfp4_model.json',,model_missing,False
32,261,8352,8352,backbone.layer.36.mlp.up_proj,mlp.up_proj,8192,4096,dense_bf16,False,,[Errno 2] No such file or directory: 'fake/kernels/cutlass/cutlass_wrapper/artifacts/modeling/dense_bf16/dense_bf16_model.json',,model_missing,True
32,261,8352,8352,backbone.layer.36.mlp.up_proj,mlp.up_proj,8192,4096,dense_nvfp4,False,,[Errno 2] No such file or directory: 'fake/kernels/cutlass/cutlass_wrapper/artifacts/modeling/dense_nvfp4/dense_nvfp4_model.json',,model_missing,False
32,261,8352,8352,backbone.layer.36.mlp.up_proj,mlp.up_proj,8192,4096,sparse_bf16,False,,[Errno 2] No such file or directory: 'fake/kernels/cutlass/cutlass_wrapper/artifacts/modeling/sparse_bf16/sparse_bf16_model.json',,model_missing,False
32,261,8352,8352,backbone.layer.36.mlp.up_proj,mlp.up_proj,8192,4096,sparse_nvfp4,False,,[Errno 2] No such file or directory: 'fake/kernels/cutlass/cutlass_wrapper/artifacts/modeling/sparse_nvfp4/sparse_nvfp4_model.json',,model_missing,False
32,261,8352,8352,backbone.layer.36.mlp.down_proj,mlp.down_proj,4096,8192,dense_bf16,False,,[Errno 2] No such file or directory: 'fake/kernels/cutlass/cutlass_wrapper/artifacts/modeling/dense_bf16/dense_bf16_model.json',,model_missing,True
32,261,8352,8352,backbone.layer.36.mlp.down_proj,mlp.down_proj,4096,8192,dense_nvfp4,False,,[Errno 2] No such file or directory: 'fake/kernels/cutlass/cutlass_wrapper/artifacts/modeling/dense_nvfp4/dense_nvfp4_model.json',,model_missing,False
32,261,8352,8352,backbone.layer.36.mlp.down_proj,mlp.down_proj,4096,8192,sparse_bf16,False,,[Errno 2] No such file or directory: 'fake/kernels/cutlass/cutlass_wrapper/artifacts/modeling/sparse_bf16/sparse_bf16_model.json',,model_missing,False
32,261,8352,8352,backbone.layer.36.mlp.down_proj,mlp.down_proj,4096,8192,sparse_nvfp4,False,,[Errno 2] No such file or directory: 'fake/kernels/cutlass/cutlass_wrapper/artifacts/modeling/sparse_nvfp4/sparse_nvfp4_model.json',,model_missing,False
32,261,8352,8352,backbone.layer.37.attention.k_proj,attention.k_proj,4096,4096,dense_bf16,False,,[Errno 2] No such file or directory: 'fake/kernels/cutlass/cutlass_wrapper/artifacts/modeling/dense_bf16/dense_bf16_model.json',,model_missing,True
32,261,8352,8352,backbone.layer.37.attention.k_proj,attention.k_proj,4096,4096,dense_nvfp4,False,,[Errno 2] No such file or directory: 'fake/kernels/cutlass/cutlass_wrapper/artifacts/modeling/dense_nvfp4/dense_nvfp4_model.json',,model_missing,False
32,261,8352,8352,backbone.layer.37.attention.k_proj,attention.k_proj,4096,4096,sparse_bf16,False,,[Errno 2] No such file or directory: 'fake/kernels/cutlass/cutlass_wrapper/artifacts/modeling/sparse_bf16/sparse_bf16_model.json',,model_missing,False
32,261,8352,8352,backbone.layer.37.attention.k_proj,attention.k_proj,4096,4096,sparse_nvfp4,False,,[Errno 2] No such file or directory: 'fake/kernels/cutlass/cutlass_wrapper/artifacts/modeling/sparse_nvfp4/sparse_nvfp4_model.json',,model_missing,False
32,261,8352,8352,backbone.layer.37.attention.v_proj,attention.v_proj,4096,4096,dense_bf16,False,,[Errno 2] No such file or directory: 'fake/kernels/cutlass/cutlass_wrapper/artifacts/modeling/dense_bf16/dense_bf16_model.json',,model_missing,True
32,261,8352,8352,backbone.layer.37.attention.v_proj,attention.v_proj,4096,4096,dense_nvfp4,False,,[Errno 2] No such file or directory: 'fake/kernels/cutlass/cutlass_wrapper/artifacts/modeling/dense_nvfp4/dense_nvfp4_model.json',,model_missing,False
32,261,8352,8352,backbone.layer.37.attention.v_proj,attention.v_proj,4096,4096,sparse_bf16,False,,[Errno 2] No such file or directory: 'fake/kernels/cutlass/cutlass_wrapper/artifacts/modeling/sparse_bf16/sparse_bf16_model.json',,model_missing,False
32,261,8352,8352,backbone.layer.37.attention.v_proj,attention.v_proj,4096,4096,sparse_nvfp4,False,,[Errno 2] No such file or directory: 'fake/kernels/cutlass/cutlass_wrapper/artifacts/modeling/sparse_nvfp4/sparse_nvfp4_model.json',,model_missing,False
32,261,8352,8352,backbone.layer.37.attention.q_proj,attention.q_proj,4096,4096,dense_bf16,False,,[Errno 2] No such file or directory: 'fake/kernels/cutlass/cutlass_wrapper/artifacts/modeling/dense_bf16/dense_bf16_model.json',,model_missing,True
32,261,8352,8352,backbone.layer.37.attention.q_proj,attention.q_proj,4096,4096,dense_nvfp4,False,,[Errno 2] No such file or directory: 'fake/kernels/cutlass/cutlass_wrapper/artifacts/modeling/dense_nvfp4/dense_nvfp4_model.json',,model_missing,False
32,261,8352,8352,backbone.layer.37.attention.q_proj,attention.q_proj,4096,4096,sparse_bf16,False,,[Errno 2] No such file or directory: 'fake/kernels/cutlass/cutlass_wrapper/artifacts/modeling/sparse_bf16/sparse_bf16_model.json',,model_missing,False
32,261,8352,8352,backbone.layer.37.attention.q_proj,attention.q_proj,4096,4096,sparse_nvfp4,False,,[Errno 2] No such file or directory: 'fake/kernels/cutlass/cutlass_wrapper/artifacts/modeling/sparse_nvfp4/sparse_nvfp4_model.json',,model_missing,False
32,261,8352,8352,backbone.layer.37.attention.o_proj,attention.o_proj,4096,4096,dense_bf16,False,,[Errno 2] No such file or directory: 'fake/kernels/cutlass/cutlass_wrapper/artifacts/modeling/dense_bf16/dense_bf16_model.json',,model_missing,True
32,261,8352,8352,backbone.layer.37.attention.o_proj,attention.o_proj,4096,4096,dense_nvfp4,False,,[Errno 2] No such file or directory: 'fake/kernels/cutlass/cutlass_wrapper/artifacts/modeling/dense_nvfp4/dense_nvfp4_model.json',,model_missing,False
32,261,8352,8352,backbone.layer.37.attention.o_proj,attention.o_proj,4096,4096,sparse_bf16,False,,[Errno 2] No such file or directory: 'fake/kernels/cutlass/cutlass_wrapper/artifacts/modeling/sparse_bf16/sparse_bf16_model.json',,model_missing,False
32,261,8352,8352,backbone.layer.37.attention.o_proj,attention.o_proj,4096,4096,sparse_nvfp4,False,,[Errno 2] No such file or directory: 'fake/kernels/cutlass/cutlass_wrapper/artifacts/modeling/sparse_nvfp4/sparse_nvfp4_model.json',,model_missing,False
32,261,8352,8352,backbone.layer.37.mlp.gate_proj,mlp.gate_proj,8192,4096,dense_bf16,False,,[Errno 2] No such file or directory: 'fake/kernels/cutlass/cutlass_wrapper/artifacts/modeling/dense_bf16/dense_bf16_model.json',,model_missing,True
32,261,8352,8352,backbone.layer.37.mlp.gate_proj,mlp.gate_proj,8192,4096,dense_nvfp4,False,,[Errno 2] No such file or directory: 'fake/kernels/cutlass/cutlass_wrapper/artifacts/modeling/dense_nvfp4/dense_nvfp4_model.json',,model_missing,False
32,261,8352,8352,backbone.layer.37.mlp.gate_proj,mlp.gate_proj,8192,4096,sparse_bf16,False,,[Errno 2] No such file or directory: 'fake/kernels/cutlass/cutlass_wrapper/artifacts/modeling/sparse_bf16/sparse_bf16_model.json',,model_missing,False
32,261,8352,8352,backbone.layer.37.mlp.gate_proj,mlp.gate_proj,8192,4096,sparse_nvfp4,False,,[Errno 2] No such file or directory: 'fake/kernels/cutlass/cutlass_wrapper/artifacts/modeling/sparse_nvfp4/sparse_nvfp4_model.json',,model_missing,False
32,261,8352,8352,backbone.layer.37.mlp.up_proj,mlp.up_proj,8192,4096,dense_bf16,False,,[Errno 2] No such file or directory: 'fake/kernels/cutlass/cutlass_wrapper/artifacts/modeling/dense_bf16/dense_bf16_model.json',,model_missing,True
32,261,8352,8352,backbone.layer.37.mlp.up_proj,mlp.up_proj,8192,4096,dense_nvfp4,False,,[Errno 2] No such file or directory: 'fake/kernels/cutlass/cutlass_wrapper/artifacts/modeling/dense_nvfp4/dense_nvfp4_model.json',,model_missing,False
32,261,8352,8352,backbone.layer.37.mlp.up_proj,mlp.up_proj,8192,4096,sparse_bf16,False,,[Errno 2] No such file or directory: 'fake/kernels/cutlass/cutlass_wrapper/artifacts/modeling/sparse_bf16/sparse_bf16_model.json',,model_missing,False
